Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC connection,PC identifier,PC name,DCDC,Filterboard DCS,Filterboard power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED crate,FED ID,,,,,,
FPix_BmI_D1_BLD1_PNL2_RNG1,HC1-Disk1-Inner,1T,M-H-1-34,7062,15,1Ta,1TA,2,,,,,,,1,,8,,,-z up left 3,1,-z up left 2,2,1,brown-4,7/8,1,a,down center,1294,BmI,PortCard Position:,,,,
FPix_BmI_D1_BLD2_PNL2_RNG1,,2T,M-H-1-39,7065,14,1Ta,1TA,4,,,,,,,2,,8,,,-z up left 3,2,-z up left 2,2,2,brown-4,31/32,1,b,down center,1294,,XYZ-#:,X: disk number 1-3,,,
FPix_BmI_D1_BLD3_PNL2_RNG1,,3T,M-H-2-04,7075,13,1Ta,1TA,6,,,,,,,3,,8,,,-z up left 3,3,-z up left 2,2,3,brown-4,7/8,2,a,down center,1295,,,Y: top/bottom,,,
FPix_BmI_D1_BLD4_PNL2_RNG1,,4T,M-H-2-17,7032,15,1Tb,1TB,2,,,,,,,5,,8,,,-z up left 4,1,-z up left 2,2,5,orange-2,3/4,3,a,down center,1296,,,Z: position phi (a-d),,Z: position mirror (A-D),
FPix_BmI_D1_BLD5_PNL2_RNG1,,5T,M-H-2-26,7031,14,1Tb,1TB,6,,,,,,,7,,8,,,-z up left 4,3,-z up left 2,2,7,orange-2,3/4,4,a,down center,1297,,,#: Slot number (1-7),,,
FPix_BmI_D1_BLD6_PNL2_RNG1,,6T,M-H-2-28,7063,15,1Tc,1TC,2,,,,,,,12,,14,,,-z down left 4,4,-z down left 2,2,8,brown-4,31/32,4,b,down center,1297,,,,,,
FPix_BmI_D1_BLD7_PNL2_RNG1,,7T,M-H-2-36,7060,14,1Tc,1TC,4,,,,,,,13,,14,,,-z down left 4,3,-z down left 2,2,9,brown-4,7/8,5,a,down center,1298,,BmI:,-z +x (left),,,
FPix_BmI_D1_BLD8_PNL2_RNG1,,8T,M-H-2-47,7071,13,1Tc,1TC,6,,,,,,,18,,14,,,-z down left 4,2,-z down left 2,2,10,brown-4,31/32,5,b,down center,1298,,BmO:,-z -x (right),,,
FPix_BmI_D1_BLD9_PNL2_RNG1,,9T,M-I-1-26,7066,15,1Td,1TD,2,,,,,,,20,,14,,,-z down left 3,3,-z down left 2,2,12,orange-2,27/28,6,b,down center,1299,,BpI:,+z +x (right),,,
FPix_BmI_D1_BLD10_PNL2_RNG1,,10T,M-I-1-50,7057,14,1Td,1TD,4,,,,,,,21,,14,,,-z down left 3,2,-z down left 2,2,13,orange-2,3/4,7,a,down center,1300,,BpO:,+z -x (left),,,
FPix_BmI_D1_BLD11_PNL2_RNG1,,11T,M-L-3-47,7053,13,1Td,1TD,6,,,,,,,22,,14,,,-z down left 3,1,-z down left 2,2,14,orange-2,27/28,7,b,down center,1300,,,,,,
FPix_BmI_D1_BLD1_PNL1_RNG1,,1B,M-I-2-35,7033,12,1Ba,1BA,2,,,,,,,1,,8,,,-z up left 3,1,-z up left 2,2,1,green-3,5/6,1,a,down center,1294,,,,,,
